"Taxon_Id","Kingdom","Class","Family","Scientific_name","Common_name","Taxon_author","NCA_status","EPBC_status","Significant","Endemicity"
658,"animals","amphibians","Myobatrachidae","Uperoleia altissima","tableland gungan","Davies, Watson, McDonald, Trennery & Werren, 1993","C",,,"Q"
633,"animals","amphibians","Myobatrachidae","Uperoleia fusca","dusky gungan","Davies, McDonald & Corben, 1986","C",,,"QA"
634,"animals","amphibians","Myobatrachidae","Uperoleia inundata","floodplain gungan","Tyler, Davies & Martin, 1981","C",,,"QA"
635,"animals","amphibians","Myobatrachidae","Uperoleia laevigata","eastern gungan","Keferstein, 1867","C",,,"QA"
636,"animals","amphibians","Myobatrachidae","Uperoleia lithomoda","stonemason gungan","Tyler, Davies & Martin, 1981","C",,,"QA"
637,"animals","amphibians","Myobatrachidae","Uperoleia littlejohni","Einasleigh gungan","Davies, McDonald & Corben, 1986","C",,,"Q"
638,"animals","amphibians","Myobatrachidae","Uperoleia mimula","mimicking gungan","Davies, McDonald & Corben, 1986","C",,,"QAI"
639,"animals","amphibians","Myobatrachidae","Uperoleia rugosa","chubby gungan","(Andersson, 1916)","C",,,"QA"
641,"animals","amphibians","Myobatrachidae","Uperoleia trachyderma","orange shouldered gungan","Tyler, Davies & Martin, 1981","C",,,"QA"
624,"animals","amphibians","Hylidae","Cyclorana alboguttata","greenstripe frog","(Günther, 1867)","C",,,"QA"
642,"animals","amphibians","Hylidae","Cyclorana australis","northern snapping frog","(Gray, 1842)","C",,,"QA"
643,"animals","amphibians","Hylidae","Cyclorana brevipes","superb collared frog","(Peters, 1871)","C",,,"QA"
18795,"animals","amphibians","Hylidae","Cyclorana cryptotis","earless frog","Tyler & Martin, 1977","C",,,"QA"
644,"animals","amphibians","Hylidae","Cyclorana cultripes","grassland collared frog","Parker, 1940","C",,,"QA"
18287,"animals","amphibians","Hylidae","Cyclorana maculosa","spotted collared frog","Tyler & Martin, 1977","C",,,"QA"
645,"animals","amphibians","Hylidae","Cyclorana maini","western collared frog","Tyler & Martin, 1977","C",,,"QA"
632,"animals","amphibians","Hylidae","Cyclorana manya","little collared frog","van Buerden & McDonald, 1980","C",,,"Q"
620,"animals","amphibians","Hylidae","Cyclorana novaehollandiae","eastern snapping frog","Steindachner, 1867","C",,,"QA"
621,"animals","amphibians","Hylidae","Cyclorana platycephala","water holding frog","(Günther, 1873)","C",,,"QA"
623,"animals","amphibians","Hylidae","Cyclorana verrucosa","rough collared frog","Tyler & Martin, 1977","C",,,"QA"
18173,"animals","amphibians","Hylidae","Litoria andiirrmalin","Melville Range treefrog","McDonald, 1997","V",,"Y","Q"
36018,"animals","amphibians","Hylidae","Litoria bella","Cape York graceful treefrog","McDonald, Rowley, Richards & Frankham, 2016","C",,,"Q"
625,"animals","amphibians","Hylidae","Litoria bicolor","northern sedgefrog","(Gray, 1842)","C",,,"QAI"
626,"animals","amphibians","Hylidae","Litoria brevipalmata","green thighed frog","Tyler, Martin & Watson, 1972","C",,,"QA"
627,"animals","amphibians","Hylidae","Litoria caerulea","common green treefrog","(White, 1790)","C",,,"QAI"
628,"animals","amphibians","Hylidae","Litoria chloris","orange eyed treefrog","(Boulenger, 1893)","C",,,"QA"
629,"animals","amphibians","Hylidae","Litoria cooloolensis","Cooloola sedgefrog","Liem, 1974","NT",,"Y","Q"
630,"animals","amphibians","Hylidae","Litoria coplandi","sandstone frog","(Tyler, 1968)","C",,,"QA"
631,"animals","amphibians","Hylidae","Litoria dahlii","northern waterfrog","(Boulenger, 1896)","C",,,"QA"
579,"animals","amphibians","Hylidae","Litoria dayi","Australian lacelid","(Günther, 1897)","E","E","Y","Q"
617,"animals","amphibians","Hylidae","Litoria dentata","bleating treefrog","(Keferstein, 1868)","C",,,"QA"
619,"animals","amphibians","Hylidae","Litoria electrica","buzzing treefrog","Ingram & Corben, 1990","C",,,"Q"
607,"animals","amphibians","Hylidae","Litoria eucnemis","growling green eyed frog","(Lonnberg, 1890)","C",,,"QAI"
608,"animals","amphibians","Hylidae","Litoria fallax","eastern sedgefrog","(Peters, 1880)","C",,,"QA"
609,"animals","amphibians","Hylidae","Litoria freycineti","wallum rocketfrog","Tschudi, 1838","V",,"Y","QA"
611,"animals","amphibians","Hylidae","Litoria gracilenta","graceful treefrog","(Peters, 1869)","C",,,"QA"
612,"animals","amphibians","Hylidae","Litoria inermis","bumpy rocketfrog","(Peters, 1867)","C",,,"QA"
613,"animals","amphibians","Hylidae","Litoria infrafrenata","white lipped treefrog","(Günther, 1867)","C",,,"QAI"
29175,"animals","amphibians","Hylidae","Litoria jungguy","northern stony creek frog","Donnellan & Mahony, 2004","C",,,"Q"
18279,"animals","amphibians","Hylidae","Litoria kroombitensis","Kroombit treefrog","Hoskin, Hines, Meyer, Clarke & Cunningham, 2013","E",,"Y","Q"
614,"animals","amphibians","Hylidae","Litoria latopalmata","broad palmed rocketfrog","Günther, 1867","C",,,"QA"
616,"animals","amphibians","Hylidae","Litoria longirostris","long snouted treefrog","Tyler & Davies, 1977","NT",,"Y","Q"
602,"animals","amphibians","Hylidae","Litoria lorica","little waterfall frog","Davies & McDonald, 1979","E","CE","Y","Q"
618,"animals","amphibians","Hylidae","Litoria microbelos","javelin frog","Macleay, 1877","C",,,"QA"
31630,"animals","amphibians","Hylidae","Litoria myola","Kuranda treefrog","Hoskin, 2007","E","E","Y","Q"
603,"animals","amphibians","Hylidae","Litoria nannotis","waterfall frog","(Andersson, 1916)","E","E","Y","Q"
604,"animals","amphibians","Hylidae","Litoria nasuta","striped rocketfrog","(Gray, 1842)","C",,,"QAI"
605,"animals","amphibians","Hylidae","Litoria nigrofrenata","tawny rocketfrog","(Günther, 1867)","C",,,"QAI"
606,"animals","amphibians","Hylidae","Litoria nyakalensis","mountain mistfrog","Liem, 1974","E","CE","Y","Q"
593,"animals","amphibians","Hylidae","Litoria olongburensis","wallum sedgefrog","Liem & Ingram, 1977","V","V","Y","QA"
594,"animals","amphibians","Hylidae","Litoria pallida","pallid rocketfrog","Davies, Martin & Watson, 1983","C",,,"QA"
595,"animals","amphibians","Hylidae","Litoria pearsoniana","cascade treefrog","(Copland, 1961)","V",,"Y","QA"
596,"animals","amphibians","Hylidae","Litoria peronii","emerald spotted treefrog","(Tschudi, 1838)","C",,,"QA"
597,"animals","amphibians","Hylidae","Litoria revelata","whirring treefrog","Ingram, Corben & Hosmer, 1982","C",,,"QA"
598,"animals","amphibians","Hylidae","Litoria rheocola","common mistfrog","Liem, 1974","E","E","Y","Q"
599,"animals","amphibians","Hylidae","Litoria rothii","northern laughing treefrog","(De Vis, 1884)","C",,,"QA"
600,"animals","amphibians","Hylidae","Litoria rubella","ruddy treefrog","(Gray, 1842)","C",,,"QAI"
610,"animals","amphibians","Hylidae","Litoria serrata","tapping green eyed frog","(Andersson, 1916)","V",,"Y","Q"
18440,"animals","amphibians","Hylidae","Litoria sp. cf. cooloolensis (North Stradbroke Is population)",,,"NT",,"Y","Q"
587,"animals","amphibians","Hylidae","Litoria subglandulosa","New England treefrog","Tyler & Anstis, 1975","V",,"Y","QA"
589,"animals","amphibians","Hylidae","Litoria tyleri","southern laughing treefrog","Martin, Watson, Gartside, Littlejohn & Loftus-Hills, 1979","C",,,"QA"
590,"animals","amphibians","Hylidae","Litoria verreauxii","whistling treefrog","(Duméril, 1853)","C",,,"QA"
591,"animals","amphibians","Hylidae","Litoria watjulumensis","giant rocketfrog","(Copland, 1957)","C",,,"QA"
29174,"animals","amphibians","Hylidae","Litoria wilcoxii","eastern stony creek frog","Günther, 1864","C",,,"QA"
592,"animals","amphibians","Hylidae","Litoria xanthomera","orange thighed treefrog","Davies, McDonald & Adams, 1986","C",,,"Q"
701,"animals","amphibians","Microhylidae","Austrochaperina fryi","peeping whistlefrog","(Zweifel, 1962)","C",,,"Q"
702,"animals","amphibians","Microhylidae","Austrochaperina gracilipes","shrill whistlefrog","Fry, 1912","C",,,"QAI"
703,"animals","amphibians","Microhylidae","Austrochaperina pluvialis","white browed whistlefrog","(Zweifel, 1965)","C",,,"Q"
704,"animals","amphibians","Microhylidae","Austrochaperina robusta","robust whistlefrog","Fry, 1912","C",,,"Q"
29400,"animals","amphibians","Microhylidae","Cophixalus aenigma","tapping nurseryfrog","Hoskin, 2004","NT",,"Y","Q"
34460,"animals","amphibians","Microhylidae","Cophixalus australis","southern ornate nursery-frog","Hoskin, 2012","C",,,"Q"
718,"animals","amphibians","Microhylidae","Cophixalus bombiens","buzzing nurseryfrog","Zweifel, 1985","C",,,"Q"
29399,"animals","amphibians","Microhylidae","Cophixalus concinnus","beautiful nurseryfrog","Tyler, 1979","V",,"Y","Q"
720,"animals","amphibians","Microhylidae","Cophixalus crepitans","northern nurseryfrog","Zweifel, 1985","V",,"Y","Q"
721,"animals","amphibians","Microhylidae","Cophixalus exiguus","dainty nurseryfrog","Zweifel & Parker, 1969","V",,"Y","Q"
34461,"animals","amphibians","Microhylidae","Cophixalus hinchinbrookensis","Hinchinbrook Island nursery-frog","Hoskin, 2012","C",,,"Q"
707,"animals","amphibians","Microhylidae","Cophixalus hosmeri","rattling nurseryfrog","Zweifel, 1985","NT",,"Y","Q"
708,"animals","amphibians","Microhylidae","Cophixalus infacetus","creaking nurseryfrog","Zweifel, 1985","C",,,"Q"
34088,"animals","amphibians","Microhylidae","Cophixalus kulakula","Kutini boulder-frog","Hoskin & Aland, 2011","C",,,"Q"
709,"animals","amphibians","Microhylidae","Cophixalus mcdonaldi","Mount Elliot nurseryfrog","Zweifel, 1985","V",,"Y","Q"
710,"animals","amphibians","Microhylidae","Cophixalus monticola","mountain nurseryfrog","Richards, Dennis, Trenerry & Werren, 1994","V",,"Y","Q"
711,"animals","amphibians","Microhylidae","Cophixalus neglectus","Bellenden Ker nurseryfrog","Zweifel, 1962","V",,"Y","Q"
34462,"animals","amphibians","Microhylidae","Cophixalus ornatus","northern ornate nursery-frog","(Fry, 1912)","C",,,"Q"
34089,"animals","amphibians","Microhylidae","Cophixalus pakayakulangun","golden-capped boulder-frog","Hoskin & Aland, 2011","C",,,"Q"
713,"animals","amphibians","Microhylidae","Cophixalus peninsularis","Cape York nurseryfrog","Zweifel, 1985","V",,"Y","Q"
34968,"animals","amphibians","Microhylidae","Cophixalus petrophilus","blotched boulder-frog","Hoskin, 2013","C",,,"Q"
699,"animals","amphibians","Microhylidae","Cophixalus saxatilis","Black Mountain boulderfrog","Zweifel & Parker, 1977","V",,"Y","Q"
19463,"animals","amphibians","Microhylidae","Cophixalus zweifeli","Cape Melville boulderfrog","Davies & McDonald, 1998","V",,"Y","Q"
581,"animals","amphibians","Ranidae","Papurana daemeli","Australian woodfrog","(Steindachner, 1868)","C",,,"QAI"
716,"animals","amphibians","Bufonidae","Rhinella marina","cane toad","(Linnaeus, 1758)",,,,"II"
32083,"animals","arachnids","Idiopidae","Arbanitis longipes","Brisbane tube spider","Koch, 1874",,,,"Q"
35638,"animals","arachnids","Theraphosidae","Coremiocnemis tropix","tropix","Raven, 2005","C",,,"Q"
29180,"animals","arachnids","Theraphosidae","Selenocosmia crassipes",,"(Koch, 1874)","C",,,"Q"
29181,"animals","arachnids","Theraphosidae","Selenocosmia stirlingi",,"Hogg, 1901","C",,,"QA"
29182,"animals","arachnids","Theraphosidae","Selenocosmia strenua",,"(Thorell, 1881)","C",,,"Q"
29183,"animals","arachnids","Theraphosidae","Selenocosmia subvulpina",,"Strand, 1907","C",,,"Q"
29185,"animals","arachnids","Theraphosidae","Selenotypus plumipes",,"Pocock, 1895","C",,,"Q"
35639,"animals","arachnids","Urodacidae","Urodacus macrurus",,"Pocock, 1899","C",,,"Q"
35640,"animals","arachnids","Urodacidae","Urodacus manicatus","black rock scorpion","(Thorell, 1876)","C",,,"QA"
35641,"animals","arachnids","Urodacidae","Urodacus spinatus",,"Pocock, 1902","C",,,"Q"
35642,"animals","arachnids","Urodacidae","Urodacus yaschenkoi","inland robust scorpion","(Birula, 1903)","C",,,"QA"
1100,"animals","birds","Casuariidae","Casuarius casuarius johnsonii (northern population)","southern cassowary (northern population)","Mueller, 1866","V","E","Y","Q"
1087,"animals","birds","Casuariidae","Casuarius casuarius johnsonii (southern population)","southern cassowary (southern population)","Mueller, 1866","E","E","Y","Q"
1089,"animals","birds","Casuariidae","Dromaius novaehollandiae","emu","(Latham, 1790)","C",,,"QA"
1694,"animals","birds","Megapodiidae","Alectura lathami","Australian brush-turkey","Gray, 1831","C",,,"QA"
1696,"animals","birds","Megapodiidae","Megapodius reinwardt","orange-footed scrubfowl","Dumont, 1823","C",,,"QA"
1699,"animals","birds","Phasianidae","Coturnix pectoralis","stubble quail","Gould, 1837","C",,,"QA"
1687,"animals","birds","Phasianidae","Coturnix ypsilophora","brown quail","Bosc, 1792","C",,,"QAI"
1698,"animals","birds","Phasianidae","Excalfactoria chinensis","king quail","(Linnaeus, 1766)","C",,,"QAI"
1688,"animals","birds","Phasianidae","Gallus gallus","red junglefowl","(Linnaeus, 1758)",,,,"II"
19667,"animals","birds","Phasianidae","Meleagris gallopavo","wild turkey","Linnaeus, 1758",,,,"II"
1690,"animals","birds","Phasianidae","Pavo cristatus","Indian peafowl","Linnaeus, 1758",,,,"II"
1963,"animals","birds","Anseranatidae","Anseranas semipalmata","magpie goose","(Latham, 1798)","C",,,"QAI"
1992,"animals","birds","Anatidae","Anas castanea","chestnut teal","(Eyton, 1838)","C",,,"QA"
1993,"animals","birds","Anatidae","Anas gracilis","grey teal","Buller, 1869","C",,,"QAI"
1994,"animals","birds","Anatidae","Anas platyrhynchos","northern mallard","Linnaeus, 1758",,,,"II"
1995,"animals","birds","Anatidae","Anas querquedula","garganey","Linnaeus, 1758","SL",,"Y","VI"
1996,"animals","birds","Anatidae","Anas rhynchotis","Australasian shoveler","Latham, 1801","C",,,"QAI"
1998,"animals","birds","Anatidae","Anas superciliosa","Pacific black duck","Gmelin, 1789","C",,,"QAI"
1999,"animals","birds","Anatidae","Aythya australis","hardhead","(Eyton, 1838)","C",,,"QAI"
2001,"animals","birds","Anatidae","Biziura lobata","musk duck","(Shaw, 1796)","C",,,"QA"
2003,"animals","birds","Anatidae","Chenonetta jubata","Australian wood duck","(Latham, 1801)","C",,,"QA"
2005,"animals","birds","Anatidae","Cygnus atratus","black swan","(Latham, 1790)","C",,,"QA"
1977,"animals","birds","Anatidae","Dendrocygna arcuata","wandering whistling-duck","(Horsfield, 1824)","C",,,"QAI"
1978,"animals","birds","Anatidae","Dendrocygna eytoni","plumed whistling-duck","(Eyton, 1838)","C",,,"QA"
18159,"animals","birds","Anatidae","Dendrocygna guttata","spotted whistling-duck","Schlegel, 1866","C",,,"QAI"
1980,"animals","birds","Anatidae","Malacorhynchus membranaceus","pink-eared duck","(Latham, 1801)","C",,,"QA"
1982,"animals","birds","Anatidae","Nettapus coromandelianus","cotton pygmy-goose","(Gmelin, 1789)","C",,,"QAI"
1983,"animals","birds","Anatidae","Nettapus pulchellus","green pygmy-goose","Gould, 1842","C",,,"QAI"
1985,"animals","birds","Anatidae","Oxyura australis","blue-billed duck","(Gould, 1836)","C",,,"QA"
1987,"animals","birds","Anatidae","Stictonetta naevosa","freckled duck","(Gould, 1841)","C",,,"QA"
1989,"animals","birds","Anatidae","Tadorna radjah","radjah shelduck","(Lesson, 1828)","C",,,"QAI"
1976,"animals","birds","Anatidae","Tadorna tadornoides","Australian shelduck","(Jardine & Selby, 1828)","C",,,"VU"
1286,"animals","birds","Phaethontidae","Phaethon lepturus","white-tailed tropicbird","Daudin, 1802","SL",,"Y","QAI"
1273,"animals","birds","Phaethontidae","Phaethon rubricauda","red-tailed tropicbird","Boddaert, 1783","V",,"Y","QAI"
1271,"animals","birds","Podicipedidae","Podiceps cristatus","great crested grebe","(Linnaeus, 1758)","C",,,"QAI"
1260,"animals","birds","Podicipedidae","Poliocephalus poliocephalus","hoary-headed grebe","(Jardine & Selby, 1827)","C",,,"QA"
1249,"animals","birds","Podicipedidae","Tachybaptus novaehollandiae","Australasian grebe","(Stephens, 1826)","C",,,"QAI"
1801,"animals","birds","Columbidae","Chalcophaps indica","emerald dove","(Linnaeus, 1758)","C",,,"QA"
1803,"animals","birds","Columbidae","Columba leucomela","white-headed pigeon","Temminck, 1821","C",,,"QA"
1804,"animals","birds","Columbidae","Columba livia","rock dove","Gmelin, 1789",,,,"II"
1806,"animals","birds","Columbidae","Ducula bicolor","pied imperial-pigeon","(Scopoli, 1786)","C",,,"QAI"
1807,"animals","birds","Columbidae","Ducula mullerii","collared imperial-pigeon","(Temminck, 1835)","C",,,"VU"
1809,"animals","birds","Columbidae","Geopelia cuneata","diamond dove","(Latham, 1801)","C",,,"QA"
1810,"animals","birds","Columbidae","Geopelia humeralis","bar-shouldered dove","Temminck, 1821","C",,,"QAI"
1797,"animals","birds","Columbidae","Geopelia striata","peaceful dove","(Linnaeus, 1766)","C",,,"QAI"
1798,"animals","birds","Columbidae","Geophaps plumifera","spinifex pigeon","Gould, 1842","C",,,"QA"
18439,"animals","birds","Columbidae","Geophaps scripta peninsulae","squatter pigeon (northern subspecies)","White, 1922","C",,,"Q"
1785,"animals","birds","Columbidae","Geophaps scripta scripta","squatter pigeon (southern subspecies)","Temminck, 1821","V","V","Y","QA"
1787,"animals","birds","Columbidae","Leucosarcia melanoleuca","wonga pigeon","(Latham, 1801)","C",,,"QA"
1789,"animals","birds","Columbidae","Lopholaimus antarcticus","topknot pigeon","(Shaw, 1794)","C",,,"QA"
1791,"animals","birds","Columbidae","Macropygia amboinensis","brown cuckoo-dove","(Linnaeus, 1766)","C",,,"QAI"
1793,"animals","birds","Columbidae","Ocyphaps lophotes","crested pigeon","(Temminck, 1822)","C",,,"QA"
1795,"animals","birds","Columbidae","Phaps chalcoptera","common bronzewing","(Latham, 1790)","C",,,"QA"
1781,"animals","birds","Columbidae","Phaps elegans","brush bronzewing","(Temminck, 1810)","C",,,"QA"
1782,"animals","birds","Columbidae","Phaps histrionica","flock bronzewing","(Gould, 1841)","C",,,"QA"
32023,"animals","birds","Columbidae","Ptilinopus iozonus","orange-bellied fruit-dove","(G.R. Gray, 1858)","C",,,"VI"
1770,"animals","birds","Columbidae","Ptilinopus magnificus","wompoo fruit-dove","(Temminck, 1821)","C",,,"QAI"
1771,"animals","birds","Columbidae","Ptilinopus regina","rose-crowned fruit-dove","Swainson, 1825","C",,,"QAI"
1773,"animals","birds","Columbidae","Ptilinopus superbus","superb fruit-dove","(Temminck, 1810)","C",,,"QAI"
1774,"animals","birds","Columbidae","Streptopelia chinensis","spotted dove","(Scopoli, 1786)",,,,"II"
1951,"animals","birds","Podargidae","Podargus ocellatus marmoratus","marbled frogmouth","Quoy & Gaimard, 1830","C",,,"Q"
1952,"animals","birds","Podargidae","Podargus ocellatus plumiferus","plumed frogmouth","Gould, 1846","V",,"Y","QA"
1953,"animals","birds","Podargidae","Podargus papuensis","Papuan frogmouth","Quoy & Gaimard, 1830","C",,,"QAI"
1955,"animals","birds","Podargidae","Podargus strigoides","tawny frogmouth","(Latham, 1801)","C",,,"QA"
1962,"animals","birds","Eurostopodidae","Eurostopodus argus","spotted nightjar","Hartert, 1892","C",,,"QA"
1949,"animals","birds","Eurostopodidae","Eurostopodus mystacalis","white-throated nightjar","(Temminck, 1826)","C",,,"QAI"
1975,"animals","birds","Caprimulgidae","Caprimulgus macrurus","large-tailed nightjar","Horsfield, 1821","C",,,"QAI"
1973,"animals","birds","Aegothelidae","Aegotheles cristatus","Australian owlet-nightjar","(Shaw, 1790)","C",,,"QAI"
1969,"animals","birds","Apodidae","Aerodramus terraereginae","Australian swiftlet","(Ramsay, 1875)","C",,,"QA"
1970,"animals","birds","Apodidae","Aerodramus vanikorensis","uniform swiftlet","(Quoy & Gaimard, 1830)","C",,,"VI"
18827,"animals","birds","Apodidae","Apus affinis","house swift","(Gray, 1830)","C",,,"VI"
1965,"animals","birds","Apodidae","Apus pacificus","fork-tailed swift","(Latham, 1802)","SL",,"Y","QAI"
1967,"animals","birds","Apodidae","Collocalia esculenta","glossy swiftlet","(Linnaeus, 1758)","C",,,"VI"
1971,"animals","birds","Apodidae","Hirundapus caudacutus","white-throated needletail","(Latham, 1801)","SL",,"Y","QAI"
32024,"animals","birds","Apodidae","Mearnsia novaeguineae","Papuan spine-tailed swift","(D'Albertis & Salvadori, 1879)","C",,,"VI"
34879,"animals","birds","Hydrobatidae","Nesofregetta fuliginosa","Polynesian storm petrel","(Gmelin, 1789)","C",,,"VI"
1247,"animals","birds","Oceanitidae","Fregetta grallaria","white-bellied storm-petrel","(Vieillot, 1817)","C","V","Y","QAI"
34426,"animals","birds","Oceanitidae","Fregetta maoriana","New Zealand storm-petrel","(Mathews, 1932)","C",,,"VI"
1235,"animals","birds","Oceanitidae","Fregetta tropica","black-bellied storm-petrel","(Gould, 1844)","C",,,"QAI"
1236,"animals","birds","Oceanitidae","Oceanites oceanicus","Wilson's storm-petrel","(Kuhl, 1820)","SL",,"Y","QAI"
1238,"animals","birds","Oceanitidae","Pelagodroma marina","white-faced storm-petrel","(Latham, 1790)","C",,,"VU"
27767,"animals","birds","Diomedeidae","Diomedea antipodensis antipodensis","Antipodean albatross","Robertson & Warham, 1992","V","V","Y","QAI"
27768,"animals","birds","Diomedeidae","Diomedea antipodensis gibsoni","Gibson's albatross","Robertson & Warham, 1992","V","V","Y","QAI"
1254,"animals","birds","Diomedeidae","Diomedea epomophora","southern royal albatross","Lesson, 1825","SL","V","Y","VI"
1255,"animals","birds","Diomedeidae","Diomedea exulans","wandering albatross","Linnaeus, 1758","V","V","Y","QAI"
1258,"animals","birds","Diomedeidae","Phoebetria fusca","sooty albatross","(Hilsenberg, 1822)","V","V","Y","VU"
1259,"animals","birds","Diomedeidae","Phoebetria palpebrata","light-mantled sooty albatross","(Forster, 1785)","SL",,"Y","VU"
18836,"animals","birds","Diomedeidae","Thalassarche bulleri","Buller's albatross","Rothschild, 1893","V","V","Y","VU"
1252,"animals","birds","Diomedeidae","Thalassarche carteri","Indian yellow-nosed albatross","Gmelin, 1789","V","V","Y","QAI"
1251,"animals","birds","Diomedeidae","Thalassarche cauta","shy albatross","Gould, 1841","V","V","Y","QAI"
1253,"animals","birds","Diomedeidae","Thalassarche chrysostoma","grey-headed albatross","Forster, 1785","V","E","Y","VU"
33169,"animals","birds","Diomedeidae","Thalassarche impavida","Campbell albatross","Mathews, 1912","SL","V","Y","QAI"
